takilman,"	takilmen
"
featherless,"	featherlesses
"
steaminess,"	steaminesses
"
sportsman,"	sportsmen
"
manipulability,"	manipulabilities
"
smugness,"	smugnesses
"
prosperity,"	prosperities
"
kenogenesis,"	kenogeneses
"
kandy,"	kandies
"
briefless,"	brieflesses
"
overpass,"	overpasses
"
cowberry,"	cowberries
"
furtiveness,"	furtivenesses
"
syllogism,"	syllogisms
"
leery,"	leeries
"
amphimixis,"	amphimixes
"
corny,"	cornies
"
tailspin,"	tailspins
"
polypore,"	polypores
"
catharsis,"	catharses
"
chancery,"	chanceries
"
body,"	bodies
"
hillside,"	hillsides
"
electronegativity,"	electronegativities
"
tufa,"	tufas
"
hierocracy,"	hierocracies
"
incriminatory,"	incriminatories
"
parsnip,"	parsnips
"
sempatch,"	sempatches
"
neggram,"	neggrams
"
flatfoot,"	flatfeet
"
arrogate,"	arrogates
"
omphalotus,"	omphalotuss
"
blowfly,"	blowflies
"
zymosis,"	zymoses
"
galeopsis,"	galeopses
"
stupor,"	stupors
"
tach,"	taches
"
humaneness,"	humanenesses
"
mediatory,"	mediatories
"
grandmother,"	grandmothers
"
soupspoon,"	soupspoons
"
anemopsis,"	anemopses
"
overprice,"	overprices
"
croak,"	croaks
"
raciness,"	racinesses
"
ketonuria,"	ketonurias
"
trichodesmium,"	trichodesmiums
"
radiobiology,"	radiobiologies
"
formula,"	formulae
"
unavoidability,"	unavoidabilities
"
paintbrush,"	paintbrushes
"
emery,"	emeries
"
housefly,"	houseflies
"
saame,"	saames
"
inuit,"	inuits
"
hypernymy,"	hypernymies
"
agalactosis,"	agalactoses
"
impregnability,"	impregnabilities
"
bourguignon,"	bourguignons
"
crudity,"	crudities
"
miscarry,"	miscarries
"
meadowgrass,"	meadowgrasses
"
soupiness,"	soupinesses
"
borax,"	boraxes
"
teensy,"	teensies
"
shrewmouse,"	shrewmice
"
perihelion,"	perihelia
"
tenpounder,"	tenpounders
"
cryptobiosis,"	cryptobioses
"
whiff,"	whiffs
"
sforzando,"	sforzandoes
"
suspiciousness,"	suspiciousnesses
"
egyptology,"	egyptologies
"
procyonidae,"	procyonidaes
"
expressionless,"	expressionlesses
"
ingress,"	ingresses
"
precociousness,"	precociousnesses
"
biogeny,"	biogenies
"
stratigraphy,"	stratigraphies
"
ophthalmology,"	ophthalmologies
"
passiveness,"	passivenesses
"
seriola,"	seriolas
"
neuropsychiatry,"	neuropsychiatries
"
raunchy,"	raunchies
"
marry,"	marries
"
fusiform,"	fusiforms
"
lowercase,"	lowercases
"
furcula,"	furculas
"
grimness,"	grimnesses
"
viscosimetry,"	viscosimetries
"
household,"	households
"
hatch,"	hatches
"
trichomoniasis,"	trichomoniases
"
tonsillectomy,"	tonsillectomies
"
adenomegaly,"	adenomegalies
"
lullaby,"	lullabies
"
clearstory,"	clearstories
"
assailability,"	assailabilities
"
encephalomyelitis,"	encephalomyelitis
"
tonality,"	tonalities
"
toothbrush,"	toothbrushes
"
hilliness,"	hillinesses
"
salver,"	salvers
"
histocompatibility,"	histocompatibilities
"
palaeoanthropology,"	palaeoanthropologies
"
vengefulness,"	vengefulnesses
"
dumbstruck,"	dumbstrucks
"
wilcox,"	wilcoxes
"
cohosh,"	cohoshes
"
monosemy,"	monosemies
"
deliberateness,"	deliberatenesses
"
polarography,"	polarographies
"
himantopus,"	himantopera
"
turgidness,"	turgidnesses
"
malarkey,"	malarkeys
"
heartlessness,"	heartlessnesses
"
limitlessness,"	limitlessnesses
"
topnotch,"	topnotches
"
capromyidae,"	capromyidaes
"
francis,"	frances
"
belch,"	belches
"
kinesis,"	kineses
"
naturalness,"	naturalnesses
"
cadiz,"	cadizs
"
puberty,"	puberties
"
indicatory,"	indicatories
"
pitman,"	pitmen
"
prissy,"	prissies
"
terribleness,"	terriblenesses
"
puppetry,"	puppetries
"
fluidity,"	fluidities
"
snicker,"	snickers
"
spikemoss,"	spikemosses
"
zymurgy,"	zymurgies
"
dumpiness,"	dumpinesses
"
noesis,"	noeses
"
swoosh,"	swooshes
"
blur,"	blurs
"
predatory,"	predatories
"
sharkskin,"	sharkskins
"
venushair,"	venushairs
"
indispensableness,"	indispensablenesses
"
annuity,"	annuities
"
infix,"	infixes
"
liar,"	liars
"
ignobility,"	ignobilities
"
danewort,"	daneworts
"
disability,"	disabilities
"
nonwoody,"	nonwoodies
"
trimox,"	trimoxes
"
diapensia,"	diapensias
"
crawdaddy,"	crawdaddies
"
suppurate,"	suppurates
"
leucocytozoon,"	leucocytozoa
"
pyknosis,"	pyknoses
"
dendromecon,"	dendromecons
"
thoreau,"	thoreaux
"
jazzman,"	jazzmen
"
ix,"	ixes
"
insure,"	insures
"
brought,"	broughts
"
predicate,"	predicates
"
ropiness,"	ropinesses
"
witless,"	witlesses
"
keepsake,"	keepsakes
"
humanity,"	humanities
"
kerbela,"	kerbelas
"
casserole,"	casseroles
"
chinchy,"	chinchies
"
calx,"	calxes
"
haworth,"	haworths
"
eventuality,"	eventualities
"
thwart,"	thwarts
"
reforestation,"	reforestations
"
cooper,"	coopers
"
fledgeless,"	fledgelesses
"
stylize,"	stylizes
"
bandy,"	bandies
"
timidness,"	timidnesses
"
undersea,"	underseas
"
sabra,"	sabras
"
gutless,"	gutlesses
"
beakless,"	beaklesses
"
confidence,"	confidences
"
weeness,"	weenesses
"
sneezewort,"	sneezeworts
"
catalysis,"	catalyses
"
spoilsport,"	spoilsports
"
trichromacy,"	trichromacies
"
amicableness,"	amicablenesses
"
levity,"	levities
"
nero,"	neroes
"
befoulment,"	befoulments
"
catabolism,"	catabolisms
"
roman,"	romen
"
witty,"	witties
"
elbow,"	elbows
"
inductor,"	inductors
"
batch,"	batches
"
ruffed,"	ruffeds
"
proto,"	protoes
"
wheeziness,"	wheezinesses
"
peculiarity,"	peculiarities
"
petechia,"	petechias
"
hollowness,"	hollownesses
"
brevity,"	brevities
"
sensitometer,"	sensitometers
"
hemogenesis,"	hemogeneses
"
sepsis,"	sepses
"
attentiveness,"	attentivenesses
"
noticeability,"	noticeabilities
"
hirsuteness,"	hirsutenesses
"
jackass,"	jackasses
"
godson,"	godsons
"
alterability,"	alterabilities
"
flightiness,"	flightinesses
"
pyrocellulose,"	pyrocellulose
"
truth,"	truths
"
uranalysis,"	uranalyses
"
charlestown,"	charlestowns
"
cabby,"	cabbies
"
truman,"	trumen
"
contemporaneity,"	contemporaneities
"
chalcidfly,"	chalcidflies
"
glace,"	glaces
"
equipment,"	equipment
"
certificatory,"	certificatories
"
leftmost,"	leftmosts
"
inanimateness,"	inanimatenesses
"
fixation,"	fixations
"
accounting,"	accountings
"
spongillafly,"	spongillaflies
"
chilomastix,"	chilomastixes
"
impreciseness,"	imprecisenesses
"
grassland,"	grasslands
"
jubilancy,"	jubilancies
"
concuss,"	concusses
"
buttery,"	butteries
"
finiteness,"	finitenesses
"
mulberry,"	mulberries
"
cortisol,"	cortisols
"
haploid,"	haploids
"
civility,"	civilities
"
fleetness,"	fleetnesses
"
patentee,"	patentees
"
telephotography,"	telephotographies
"
hairiness,"	hairinesses
"
scipio,"	scipios
"
passerby,"	passerbies
"
clemenceau,"	clemenceaux
"
lexicography,"	lexicographies
"
piece,"	pieces
"
moil,"	moils
"
gongorism,"	gongorisms
"
clinton,"	clintons
"
colubrina,"	colubrinas
"
strategy,"	strategies
"
pheresis,"	phereses
"
jain,"	jains
"
fetidness,"	fetidnesses
"
match,"	matches
"
sess,"	sesses
"
retirement,"	retirements
"
gentleness,"	gentlenesses
"
algometry,"	algometries
"
intentness,"	intentnesses
"
tandy,"	tandies
"
cornerback,"	cornerbacks
"
cisco,"	ciscoes
"
racist,"	racists
"
monoculture,"	monocultures
"
whitewater,"	whitewaters
"
bunchy,"	bunchies
"
woodlouse,"	woodlice
"
halevy,"	halevies
"
indeterminacy,"	indeterminacies
"
dissever,"	dissevers
"
peppery,"	pepperies
"
forlornness,"	forlornnesses
"
zannichelliaceae,"	zannichelliaceaes
"
trailer,"	trailers
"
lusterlessness,"	lusterlessnesses
"
raccoon,"	raccoons
"
tribalism,"	tribalisms
"
bw,"	bws
"
sleeveless,"	sleevelesses
"
frunze,"	frunzes
"
demesne,"	demesnes
"
compose,"	composes
"
rakishness,"	rakishnesses
"
despatch,"	despatches
"
cockiness,"	cockinesses
"
malodorousness,"	malodorousnesses
"
juneau,"	juneaux
"
nutgrass,"	nutgrasses
"
dearness,"	dearnesses
"
yummy,"	yummies
"
snowblindness,"	snowblindnesses
"
arda,"	ardas
"
faultiness,"	faultinesses
"
aeroembolism,"	aeroembolisms
"
professorship,"	professorships
"
javanthropus,"	javanthropera
"
ocellus,"	ocelluss
"
hess,"	hesses
"
meterstick,"	metersticks
"
kingdom,"	kingdoms
"
pullman,"	pullmen
"
crafty,"	crafties
"
epicure,"	epicures
"
lordliness,"	lordlinesses
"
gymnosophy,"	gymnosophies
"
ackerman,"	ackermen
"
hospitalization,"	hospitalizations
"
dozy,"	dozies
"
soteriology,"	soteriologies
"
concurrency,"	concurrencies
"
perviousness,"	perviousnesses
"
matrimony,"	matrimonies
"
thoughtfulness,"	thoughtfulnesses
"
vacuity,"	vacuities
"
camass,"	camasses
"
invisibility,"	invisibilities
"
impureness,"	impurenesses
"
baptistery,"	baptisteries
"
baseless,"	baselesses
"
aorist,"	aorists
"
ductless,"	ductlesses
"
synthesis,"	syntheses
"
brawniness,"	brawninesses
"
constatation,"	constatations
"
credulousness,"	credulousnesses
"
loach,"	loaches
"
coffeeberry,"	coffeeberries
"
likeness,"	likenesses
"
windburn,"	windburns
"
valorousness,"	valorousnesses
"
spy,"	spies
"
practicableness,"	practicablenesses
"
imminentness,"	imminentnesses
"
peachy,"	peachies
"
polo,"	poloes
"
discreteness,"	discretenesses
"
bookseller,"	booksellers
"
viscometry,"	viscometries
"
ptilonorhynchus,"	ptilonorhynchuss
"
rightness,"	rightnesses
"
villainess,"	villainesses
"
sony,"	sonies
"
miscellany,"	miscellanies
"
dombeya,"	dombeyas
"
hypophysis,"	hypophyses
"
chiefly,"	chieflies
"
drusen,"	drusens
"
handedness,"	handednesses
"
chicanery,"	chicaneries
"
inexpensiveness,"	inexpensivenesses
"
pluckiness,"	pluckinesses
"
gesneriad,"	gesneriads
"
prematureness,"	prematurenesses
"
myriagram,"	myriagrams
"
slurp,"	slurps
"
clerestory,"	clerestories
"
unalterability,"	unalterabilities
"
cinema,"	cinemas
"
playbox,"	playboxes
"
reflexiveness,"	reflexivenesses
"
palaeogeology,"	palaeogeologies
"
superclass,"	superclasses
"
dracunculiasis,"	dracunculiases
"
thriftiness,"	thriftinesses
"
mangy,"	mangies
"
beneficiate,"	beneficiates
"
fortress,"	fortresses
"
airiness,"	airinesses
"
reclusiveness,"	reclusivenesses
"
tuberaceae,"	tuberaceaes
"
repercuss,"	repercusses
"
banana,"	bananas
"
centropus,"	centropera
"
humidify,"	humidifies
"
opisthorchiasis,"	opisthorchiases
"
millifarad,"	millifarads
"
slaty,"	slaties
"
tuberculosis,"	tuberculoses
"
quiescency,"	quiescencies
"
boyishness,"	boyishnesses
"
petalless,"	petallesses
"
squash,"	squashes
"
traitress,"	traitresses
"
acanthocytosis,"	acanthocytoses
"
refractoriness,"	refractorinesses
"
bonnie,"	bonnies
"
marlinspike,"	marlinspikes
"
walkman,"	walkmen
"
chummy,"	chummies
"
confessor,"	confessors
"
excess,"	excesses
"
circularise,"	circularises
"
pinny,"	pinnies
"
goddess,"	goddesses
"
discuss,"	discusses
"
spondylitis,"	spondylitis
"
technologist,"	technologists
"
chirpy,"	chirpies
"
eff,"	effs
"
geochemistry,"	geochemistries
"
craniometry,"	craniometries
"
podiatry,"	podiatries
"
apr,"	aprs
"
purlieu,"	purlieu
"
fieldworker,"	fieldworkers
"
faultlessness,"	faultlessnesses
"
masefield,"	masefields
"
boogeyman,"	boogeymen
"
hoffman,"	hoffmen
"
osmosis,"	osmoses
"
successfulness,"	successfulnesses
"
rosebush,"	rosebushes
"
unoriginality,"	unoriginalities
"
ephemerid,"	ephemerids
"
salutatory,"	salutatories
"
butterfly,"	butterflies
"
curse,"	curses
"
cornstarch,"	cornstarches
"
bison,"	bison
"
unwillingness,"	unwillingnesses
"
unsimilarity,"	unsimilarities
"
monologuize,"	monologuizes
"
incisiveness,"	incisivenesses
"
gaminess,"	gaminesses
"
malta,"	maltas
"
banality,"	banalities
"
newsperson,"	newspeople
"
suffragist,"	suffragists
"
incontrovertibleness,"	incontrovertiblenesses
"
radiothorium,"	radiothoriums
"
errancy,"	errancies
"
bastion,"	bastions
"
antedate,"	antedates
"
arteriosclerosis,"	arterioscleroses
"
amenableness,"	amenablenesses
"
inhabitancy,"	inhabitancies
"
sirach,"	siraches
"
voiceless,"	voicelesses
"
backwoodsman,"	backwoodsmen
"
meretriciousness,"	meretriciousnesses
"
railwayman,"	railwaymen
"
malignly,"	malignlies
"
fascioliasis,"	fascioliases
"
bacteriostasis,"	bacteriostases
"
mismatch,"	mismatches
"
schoolmistress,"	schoolmistresses
"
heterodox,"	heterodoxes
"
tubby,"	tubbies
"
hematogenesis,"	hematogeneses
"
pyrosis,"	pyroses
"
huffiness,"	huffinesses
"
righteousness,"	righteousnesses
"
loin,"	loins
"
presidency,"	presidencies
"
exobiology,"	exobiologies
"
hideousness,"	hideousnesses
"
laryngopharynx,"	laryngopharynges
"
gywn,"	gywns
"
fleecy,"	fleecies
"
chromaticity,"	chromaticities
"
lory,"	lories
"
sesquipedality,"	sesquipedalities
"
thermotropism,"	thermotropisms
"
hypochoeris,"	hypochoeriss
"
guilt,"	guilts
"
offenceless,"	offencelesses
"
reccy,"	reccies
"
oxytropis,"	oxytropiss
"
bulrush,"	bulrushes
"
myofibrilla,"	myofibrillas
"
solidify,"	solidifies
"
ideate,"	ideates
"
saddlebill,"	saddlebills
"
permanency,"	permanencies
"
legibility,"	legibilities
"
varicosis,"	varicoses
"
endogamy,"	endogamies
"
inhomogeneity,"	inhomogeneities
"
truculency,"	truculencies
"
tenderfoot,"	tenderfeet
"
camper,"	campers
"
arthrography,"	arthrographies
"
decisiveness,"	decisivenesses
"
orneriness,"	ornerinesses
"
transposition,"	transpositions
"
pyromancy,"	pyromancies
"
bassoon,"	bassoons
"
kook,"	kooks
"
cst,"	csts
"
rowdiness,"	rowdinesses
"
tetchy,"	tetchies
"
carpentry,"	carpentries
"
digitalisation,"	digitalisations
"
altitude,"	altitudes
"
hamstring,"	hamstrings
"
dronabinol,"	dronabinols
"
nobility,"	nobilities
"
sop,"	sops
"
godless,"	godlesses
"
dreamless,"	dreamlesses
"
overfond,"	overfonds
"
outlandish,"	outlandishes
"
synaeresis,"	synaereses
"
megabit,"	megabits
"
sooty,"	sooties
"
peabody,"	peabodies
"
semidarkness,"	semidarknesses
"
effeminateness,"	effeminatenesses
"
brome,"	bromes
"
tumultuousness,"	tumultuousnesses
"
mailman,"	mailmen
"
neuter,"	neuters
"
colitis,"	colitis
"
jynx,"	jynges
"
cookery,"	cookeries
"
pickle,"	pickles
"
bogy,"	bogies
"
cholelithiasis,"	cholelithiases
"
fattiness,"	fattinesses
"
palaeoecology,"	palaeoecologies
"
discordant,"	discordants
"
trueness,"	truenesses
"
mate,"	mates
"
banking,"	bankings
"
ditty,"	ditties
"
remedy,"	remedies
"
deepness,"	deepnesses
"
mojave,"	mojaves
"
chiron,"	chirons
"
heartless,"	heartlesses
"
swarthiness,"	swarthinesses
"
loony,"	loonies
"
puffy,"	puffies
"
fornax,"	fornaxes
"
neonatology,"	neonatologies
"
subnormality,"	subnormalities
"
mayonnaise,"	mayonnaise
"
levying,"	levyings
"
exchangeability,"	exchangeabilities
"
tasteless,"	tastelesses
"
kayak,"	kayaks
"
proparoxytone,"	proparoxytones
"
butchering,"	butcherings
"
winepress,"	winepresses
"
glamourise,"	glamourises
"
flatulency,"	flatulencies
"
seriocomedy,"	seriocomedies
"
ragee,"	ragees
"
obsequiousness,"	obsequiousnesses
"
doubtfulness,"	doubtfulnesses
"
patchiness,"	patchinesses
"
colony,"	colonies
"
burgrass,"	burgrasses
"
roguish,"	roguishes
"
analyst,"	analysts
"
glamorise,"	glamorises
"
obscurity,"	obscurities
"
obscenity,"	obscenities
"
treat,"	treats
"
tetralogy,"	tetralogies
"
hast,"	hasts
"
invertase,"	invertases
"
odorless,"	odorlesses
"
scaphocephaly,"	scaphocephalies
"
interiorise,"	interiorises
"
gin,"	gins
"
bugginess,"	bugginesses
"
drowsiness,"	drowsinesses
"
zuckerman,"	zuckermen
"
agreeableness,"	agreeablenesses
"
orography,"	orographies
"
wolff,"	wolffs
"
hermissenda,"	hermissendas
"
powerlessness,"	powerlessnesses
"
angiology,"	angiologies
"
woody,"	woodies
"
lycaena,"	lycaenas
"
impotency,"	impotencies
"
unexchangeability,"	unexchangeabilities
"
adjuratory,"	adjuratories
"
creamery,"	creameries
"
daredevilry,"	daredevilries
"
criminology,"	criminologies
"
excusatory,"	excusatories
"
sasquatch,"	sasquatches
"
instantaneousness,"	instantaneousnesses
"
elia,"	elias
"
thingummy,"	thingummies
"
ornithology,"	ornithologies
"
helplessness,"	helplessnesses
"
summary,"	summaries
"
hydroelectricity,"	hydroelectricities
"
hernaria,"	hernarias
"
advice,"	advice
"
anemometry,"	anemometries
"
manila,"	manilas
"
gabapentin,"	gabapentins
"
enquirer,"	enquirers
"
scoffer,"	scoffers
"
woodiness,"	woodinesses
"
transmutability,"	transmutabilities
"
subsidence,"	subsidences
"
derogate,"	derogates
"
immovability,"	immovabilities
"
globosity,"	globosities
"
impassivity,"	impassivities
"
maxzide,"	maxzides
"
firmness,"	firmnesses
"
keratinization,"	keratinizations
"
homophony,"	homophonies
"
orchotomy,"	orchotomies
"
clorox,"	cloroxes
"
antiquity,"	antiquities
"
digitizer,"	digitizers
"
orchiectomy,"	orchiectomies
"
jaggery,"	jaggeries
"
acanthosis,"	acanthoses
"
phlox,"	phloxes
"
psalmody,"	psalmodies
"
linux,"	linuxes
"
rondeau,"	rondeaux
"
onchocerciasis,"	onchocerciases
"
territory,"	territories
"
magleby,"	maglebies
"
athenaeum,"	athenaeums
"
exhaustless,"	exhaustlesses
"
dress,"	dresses
"
prelacy,"	prelacies
"
naivety,"	naiveties
"
grainy,"	grainies
"
blackness,"	blacknesses
"
synchroflash,"	synchroflashes
"
pentoxide,"	pentoxides
"
pigmy,"	pigmies
"
fieldsman,"	fieldsmen
"
densitometry,"	densitometries
"
waggon,"	waggons
"
huskiness,"	huskinesses
"
fry,"	fries
"
dipteryx,"	dipteryxes
"
cystoparalysis,"	cystoparalyses
"
raffia,"	raffias
"
inexorableness,"	inexorablenesses
"
sexlessness,"	sexlessnesses
"
colourless,"	colourlesses
"
sottishness,"	sottishnesses
"
humility,"	humilities
"
balcony,"	balconies
"
slivery,"	sliveries
"
exteriorize,"	exteriorizes
"
rusty,"	rusties
"
necrolysis,"	necrolyses
"
identity,"	identities
"
opalescence,"	opalescences
"
implausibleness,"	implausiblenesses
"
quash,"	quashes
"
hackle,"	hackles
"
inessentiality,"	inessentialities
"
hooky,"	hookies
"
topgallant,"	topgallants
"
moving,"	movings
"
packhorse,"	packhorses
"
coprophagy,"	coprophagies
"
answerability,"	answerabilities
"
relativity,"	relativities
"
indefatigability,"	indefatigabilities
"
crampfish,"	crampfish
"
centesis,"	centeses
"
synopsis,"	synopses
"
asbestosis,"	asbestoses
"
birdwatch,"	birdwatches
"
isui,"	isuis
"
corpulent,"	corpulents
"
merciless,"	mercilesses
"
groomsman,"	groomsmen
"
coreopsis,"	coreopses
"
nonoscillatory,"	nonoscillatories
"
difficulty,"	difficulties
"
privy,"	privies
"
whorl,"	whorls
"
impendency,"	impendencies
"
unambiguity,"	unambiguities
"
generousness,"	generousnesses
"
garnet,"	garnets
"
bulky,"	bulkies
"
manoeuvrability,"	manoeuvrabilities
"
thrombolysis,"	thrombolyses
"
spirometry,"	spirometries
"
pliancy,"	pliancies
"
powerless,"	powerlesses
"
spironolactone,"	spironolactones
"
effeminate,"	effeminates
"
sanguinity,"	sanguinities
"
foggy,"	foggies
"
exenteration,"	exenterations
"
poly,"	polies
"
roentgenography,"	roentgenographies
"
rightfield,"	rightfields
"
crownless,"	crownlesses
"
macrencephaly,"	macrencephalies
"
mouthless,"	mouthlesses
"
melancholy,"	melancholies
"
ileostomy,"	ileostomies
"
jumpiness,"	jumpinesses
"
hydronephrosis,"	hydronephroses
"
heterologic,"	heterologics
"
nonbearing,"	nonbearings
"
extremeness,"	extremenesses
"
frisch,"	frisches
"
implant,"	implants
"
somaesthesis,"	somaestheses
"
hawkishness,"	hawkishnesses
"
fanny,"	fannies
"
apotheosis,"	apotheoses
"
atelectasis,"	atelectases
"
blackfoot,"	blackfeet
"
numeracy,"	numeracies
"
vicinity,"	vicinities
"
perjury,"	perjuries
"
rushdie,"	rushdies
"
chateau,"	chateaux
"
regimentation,"	regimentations
"
desirableness,"	desirablenesses
"
daintiness,"	daintinesses
"
digress,"	digresses
"
continuousness,"	continuousnesses
"
oasis,"	oases
"
advisee,"	advisees
"
cowpox,"	cowpox
"
armin,"	armins
"
twister,"	twisters
"
zootoxin,"	zootoxins
"
stoutness,"	stoutnesses
"
cromlech,"	cromleches
"
theatricality,"	theatricalities
"
foetometry,"	foetometries
"
singleness,"	singlenesses
"
nullity,"	nullities
"
cryobiology,"	cryobiologies
"
geezer,"	geezers
"
transferrer,"	transferrers
"
hooroosh,"	hoorooshes
"
shopwalker,"	shopwalkers
"
monera,"	moneras
"
ineffectiveness,"	ineffectivenesses
"
spermy,"	spermies
"
intentionality,"	intentionalities
"
preexist,"	preexists
"
staginess,"	staginesses
"
ardour,"	ardours
"
worthwhileness,"	worthwhilenesses
"
lopsidedness,"	lopsidednesses
"
rathole,"	ratholes
"
aiguilette,"	aiguilettes
"
croesus,"	croesuss
"
powerfulness,"	powerfulnesses
"
tamp,"	tamps
"
money,"	monies
"
absolvitory,"	absolvitories
"
permeableness,"	permeablenesses
"
hath,"	haths
"
landrieu,"	landrieu
"
allegheny,"	alleghenies
"
rectorship,"	rectorships
"
galaxy,"	galaxies
"
adorableness,"	adorablenesses
"
raring,"	rarings
"
heading,"	headings
"
hematolysis,"	hematolyses
"
externality,"	externalities
"
phimosis,"	phimoses
"
asphodeline,"	asphodelines
"
azedarach,"	azedaraches
"
windward,"	windwards
"
cyamopsis,"	cyamopses
"
wilfulness,"	wilfulnesses
"
wuss,"	wusses
"
balkiness,"	balkinesses
"
baneberry,"	baneberries
"
possess,"	possesses
"
montgomery,"	montgomeries
"
delegacy,"	delegacies
"
diffuseness,"	diffusenesses
"
tastebud,"	tastebuds
"
creativity,"	creativities
"
transfiguration,"	transfigurations
"
decamp,"	decamps
"
scarry,"	scarries
"
dimness,"	dimnesses
"
ductileness,"	ductilenesses
"
munich,"	muniches
"
stability,"	stabilities
"
afresh,"	afreshes
"
phenol,"	phenols
"
supererogatory,"	supererogatories
"
gummosis,"	gummoses
"
spinach,"	spinaches
"
crisply,"	crisplies
"
chalcedony,"	chalcedonies
"
democracy,"	democracies
"
funny,"	funnies
"
spasticity,"	spasticities
"
raininess,"	raininesses
"
bunco,"	buncoes
"
specify,"	specifies
"
sonority,"	sonorities
"
dy,"	dies
"
leaker,"	leakers
"
gastroscopy,"	gastroscopies
"
symbololatry,"	symbololatries
"
recyclability,"	recyclabilities
"
chastity,"	chastities
"
myrtaceae,"	myrtaceaes
"
sociometry,"	sociometries
"
pistillode,"	pistillodes
"
blissfulness,"	blissfulnesses
"
sardonyx,"	sardonyxes
"
mispickel,"	mispickels
"
fealty,"	fealties
"
deify,"	deifies
"
salmonberry,"	salmonberries
"
snugness,"	snugnesses
"
extremist,"	extremists
"
abuzz,"	abuzzs
"
distomatosis,"	distomatoses
"
rossbach,"	rossbaches
"
gnp,"	gnps
"
restless,"	restlesses
"
couchette,"	couchettes
"
altercation,"	altercations
"
nihility,"	nihilities
"
neurofibromatosis,"	neurofibromatoses
"
rostrum,"	rostra
"
futureless,"	futurelesses
"
balalaika,"	balalaikas
"
nurture,"	nurtures
"
lungless,"	lunglesses
"
unbloody,"	unbloodies
"
vortex,"	vortices
"
ivry,"	ivries
"
cosh,"	coshes
"
tuchman,"	tuchmen
"
malvastrum,"	malvastrums
"
chef,"	chefs
"
ateliosis,"	atelioses
"
dartmouth,"	dartmouths
"
abolishment,"	abolishments
"
pajama,"	pajamas
"
sandlike,"	sandlikes
"
piquancy,"	piquancies
"
arachis,"	arachiss
"
experimentation,"	experimentations
"
countless,"	countlesses
"
naemorhedus,"	naemorheduss
"
reawaken,"	reawakens
"
competitory,"	competitories
"
paleoecology,"	paleoecologies
"
leanness,"	leannesses
"
graduate,"	graduates
"
malaxis,"	malaxes
"
useless,"	uselesses
"
blackbody,"	blackbodies
"
lustfulness,"	lustfulnesses
"
ogress,"	ogresses
"
moroseness,"	morosenesses
"
osaka,"	osakas
"
geomys,"	geomyss
"
virology,"	virologies
"
overlip,"	overlips
"
insensitiveness,"	insensitivenesses
"
mall,"	malls
"
immolation,"	immolations
"
autoradiography,"	autoradiographies
"
kaluresis,"	kalureses
"
oscitancy,"	oscitancies
"
superficiality,"	superficialities
"
harmony,"	harmonies
"
dupery,"	duperies
"
tortrix,"	tortrices
"
mutagenesis,"	mutageneses
"
barranquilla,"	barranquillas
"
expiatory,"	expiatories
"
mnium,"	mniums
"
pettiness,"	pettinesses
"
hagiology,"	hagiologies
"
amanuensis,"	amanuenses
"
porousness,"	porousnesses
"
selfishness,"	selfishnesses
"
chub,"	chubs
"
grias,"	griass
"
chickenfeed,"	chickenfeeds
"
itemise,"	itemises
"
brutality,"	brutalities
"
ambidexterity,"	ambidexterities
"
borshch,"	borshches
"
hairlessness,"	hairlessnesses
"
glycoside,"	glycosides
"
troublesomeness,"	troublesomenesses
"
brakeman,"	brakemen
"
rimless,"	rimlesses
"
squinty,"	squinties
"
hypersensitivity,"	hypersensitivities
"
surgery,"	surgeries
"
deafness,"	deafnesses
"
tuxedo,"	tuxedoes
"
punctuality,"	punctualities
"
chammy,"	chammies
"
inaudibility,"	inaudibilities
"
koch,"	koches
"
midday,"	middays
"
contiguousness,"	contiguousnesses
"
heartiness,"	heartinesses
"
maillol,"	maillols
"
clubby,"	clubbies
"
bluffness,"	bluffnesses
"
rabato,"	rabatoes
"
dipogon,"	dipogons
"
terseness,"	tersenesses
"
perdurability,"	perdurabilities
"
xenopus,"	xenopera
"
instancy,"	instancies
"
hotness,"	hotnesses
"
primatology,"	primatologies
"
fitfulness,"	fitfulnesses
"
mobility,"	mobilities
"
unanimity,"	unanimities
"
puny,"	punies
"
faulty,"	faulties
"
geomancy,"	geomancies
"
interconnectedness,"	interconnectednesses
"
cross,"	crosses
"
recombine,"	recombines
"
boysenberry,"	boysenberries
"
overbearingness,"	overbearingnesses
"
ambidextrousness,"	ambidextrousnesses
"
thimbleberry,"	thimbleberries
"
humulin,"	humulins
"
fibrosis,"	fibroses
"
sink,"	sinks
"
demonolatry,"	demonolatries
"
impracticableness,"	impracticablenesses
"
pseudechis,"	pseudechiss
"
racketiness,"	racketinesses
"
circumference,"	circumferences
"
hematology,"	hematologies
"
trichlormethiazide,"	trichlormethiazides
"
millihenry,"	millihenries
"
lingulate,"	lingulates
"
lymphangiography,"	lymphangiographies
"
baleine,"	baleines
"
ss,"	sses
"
silvery,"	silveries
"
mirthless,"	mirthlesses
"
haphazardness,"	haphazardnesses
"
anthroposophy,"	anthroposophies
"
tone,"	tones
"
crispy,"	crispies
"
stress,"	stresses
"
shammy,"	shammies
"
chopstick,"	chopsticks
"
chalcis,"	chalces
"
ecchymosis,"	ecchymoses
"
woodman,"	woodmen
"
achomawi,"	achomawis
"
blaeberry,"	blaeberries
"
salubriousness,"	salubriousnesses
"
megasporophyll,"	megasporophylls
